hk_geb;uk_geb;typ_18599
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Gruppenbüro (2 bis 6 Arbeitsplätze)
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Gruppenbüro (2 bis 6 Arbeitsplätze)
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Gruppenbüro (2 bis 6 Arbeitsplätze)
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Gruppenbüro (2 bis 6 Arbeitsplätze)
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Großraumbüro (ab 7 Arbeitsplätze)
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Hörsaal, Auditorium
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Gruppenbüro (2 bis 6 Arbeitsplätze)
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Labor
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Labor
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Gruppenbüro (2 bis 6 Arbeitsplätze)
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit geringen Anforderungen an die Raumlufttechnik);Labor
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit hohen Anforderungen an die Raumlufttechnik);Labor
Gebäude für Gesundheit und Pflege;Hochschulklinik;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Krankenhaus;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Gebäude für teilstationäre Versorgung (z.B. Tagesklinik, Geburtshaus);Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Rehabilitation;Fitnessraum (Untersuchungs- und Behandlungsräume)
Gebäude für Gesundheit und Pflege;Kur und Genesung;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Medizinisches Versorgungszentrum, Ärztehaus;Arztpraxen und theratpeutische Praxen
Gebäude für Gesundheit und Pflege;Arztpraxis;Arztpraxen und theratpeutische Praxen
Gebäude für Gesundheit und Pflege;Notfallpraxis;Arztpraxen und theratpeutische Praxen
Gebäude für Gesundheit und Pflege;Altenheim/Altenpflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Pflegeheim für Behinderte (ohne eigene Haushaltsführung der Bewohner/innen);Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Psychiatrische Pflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Tagespflegeeinrichtung;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Gebäude für Gesundheit und Pflege;Hospiz;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Schule, allgemein;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ganztagesschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Internatsschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Förder-, Sonderschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (gewerblich, wirtschaftlich);Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (mit höherer technischer Ausstattung, z.B. Werkstätten);Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsakademie, Berufskolleg;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Bildungszentrum;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ausbildungsstätte;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Volkshochschule;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa mit Küche;Klassenzimmer (Schule), Gruppenraum (Kindergarten)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Studentenhaus;Wohnen (MFH)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Altentagesstätte;Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim)
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Jugendzentrum;Besprechung/Sitzungszimmer/Seminar
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (einfach, z.B. Stadtbücherei);Bibliothek - Freihandbereich
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (höher technisiert, z.B. Unibibliothek);Bibliothek - Lesesaal
Gebäude für Kultur und Freizeit;Ausstellungsgebäude (Museen, Galerien);Ausstellungsräume, Museum
Gebäude für Kultur und Freizeit;Oper, Theater und Veranstaltungshalle, Kino, Konferenzzentrum;Bühne (Theater, Veranstaltungsbauten)
Gebäude für Kultur und Freizeit;Freizeit-, Gemeinschafts-, Bürgerhaus;Besprechung/Sitzungszimmer/Seminar
Gebäude für Kultur und Freizeit;Spielkasino, -bank, -halle;Besprechung/Sitzungszimmer/Seminar
Sportgebäude;Einfeldhalle;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Mehrfeldhalle;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Gymnastikhalle;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Sporthalle mit Mehrzwecknutzung;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Hallenbad;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Spaß- und Freizeitbad;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Thermalbad;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Hallenbad mit Freibadanlage;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Kegelbahn/Bowling;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Schießstand;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Raumschießanlage;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Reithalle;Lagerhallen, Logistikhallen
Sportgebäude;Eissporthalle;Lagerhallen, Logistikhallen
Sportgebäude;Tennishalle;Turnhalle (ohne Zuschauerbereich)
Sportgebäude;Fitnessstudio;Fitnessraum
Sportgebäude;Gebäude für Sportaußenanlage (Tribünen-, Umkleidegebäude);Sonstige Aufenthaltsräume (Garderobe, Teeküche, Lager, Archiv, Flur)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Herberge, Ferienheim, Ferienhaus, Hotel/Pension einfach;Hotelzimmer (Doppelzimmer)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sterne-Hotel;Hotelzimmer (Doppelzimmer)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Ausschankwirtschaft;Kantine (Restaurant)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Speisegaststätte (einfach);Kantine (Restaurant)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Restaurant (gehoben);Kantine (Restaurant)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Mensa/Kantine;Kantine (Kantine)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Gemeinschaftsunterkunft (z.B. Flüchtlingsheim, Kaserne, Kloster);Wohnen (MFH)
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sonstige Gebäudefunktion;Sonstige Aufenthaltsräume (Pausenraum, Wartezimmer)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für gewerbliche Produktion und Verarbeitung (z.B. Brauerei, Molkerei, Schlachthof);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für industrielle Produktion und Verarbeitung (z.B. Chemie, Metall, Textilien, Lebensmittel, Holz);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude allgemein (z.B. von Handwerksbetrieben wie Klempner, Schlosser, Schreiner);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude zur Wartung, Instandsetzung, Reparatur (von z.B. Kfz);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Logistikimmobilie mit Toren bzw. Rampen;Lagerhallen, Logistikhallen
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Sonstiges Gebäude für Lagerung;Lagerhallen, Logistikhallen
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Feuerwehr, Rettungswache;Großraumbüro (ab 7 Arbeitsplätze)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Straßenmeisterei, Bauhof u.ä.;Lagerhallen, Logistikhallen
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Fuhrpark;Parkhaus (Büro- und Privatnutzung)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);Küche (Vorbereitung, Lager)
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Rechenzentrum;Rechenzentrum
Handelsgebäude;Handelsgebäude des Lebensmitteleinzel- und -großhandels;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten)
Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;Einzelhandel/Kaufhaus
Handelsgebäude;Einkaufszentrum, Shopping-Mall;Schalterhalle
Handelsgebäude;Markthalle;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten)
Handelsgebäude;Messehalle;Messe/Kongress
Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;Einzelhandel/Kaufhaus
Technikgebäude (Ver- und Entsorgung);Kraftwerk (Gesamtanlage für Energieversorgung);Großraumbüro (ab 7 Arbeitsplätze)
Technikgebäude (Ver- und Entsorgung);Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);Großraumbüro (ab 7 Arbeitsplätze)
Technikgebäude (Ver- und Entsorgung);Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);Großraumbüro (ab 7 Arbeitsplätze)
Technikgebäude (Ver- und Entsorgung);Gebäude für Wasserversorgung;Großraumbüro (ab 7 Arbeitsplätze)
Technikgebäude (Ver- und Entsorgung);Gebäude für Abwasserbehandlung;Großraumbüro (ab 7 Arbeitsplätze)
Technikgebäude (Ver- und Entsorgung);Gebäude für Abfallbehandlung;Großraumbüro (ab 7 Arbeitsplätze)
Verkehrsgebäude;Park-/Garagengebäude, Fahrradparkhaus;Parkhaus (öffentliche Nutzung)
Verkehrsgebäude;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);Verkehrsfläche (Flur)
Verkehrsgebäude;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);Lagerhallen, Logistikhallen
Verkehrsgebäude;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);Schalterhalle
