hk_geb;uk_geb;TEK;
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Parlaments- und Gerichtsgebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Ministerien, Ämter und Behörden;
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Bürogebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Bürogebäude;
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Gebäude für öffentliche Bereitschaftsdienste;
Büro-, Verwaltungs- oder Amtsgebäude;Sonstige Gebäudefunktion;Verwaltungsgebäude (allgemein);
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Gebäude für Lehre;
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Hochschule und Forschung (allgemein);
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Institute für Lehre und Forschung;
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Institute für Lehre und Forschung;
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Hochschule und Forschung (allgemein);
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit geringen Anforderungen an die Raumlufttechnik);Gebäude für Forschung ohne Lehre;
Gebäude für Forschung und Hochschullehre;Laborgebäude von Forschungsanstalten und Unternehmen (Labor mit hohen Anforderungen an die Raumlufttechnik);Laborgebäude;
Gebäude für Forschung und Hochschullehre;Sonstige Gebäudefunktion;Hochschule und Forschung (allgemein);
Gebäude für Gesundheit und Pflege;Hochschulklinik;Krankenhäuser (ohne Forschung und Lehre);
Gebäude für Gesundheit und Pflege;Krankenhaus;Krankenhäuser (ohne Forschung und Lehre);
Gebäude für Gesundheit und Pflege;Gebäude für teilstationäre Versorgung (z.B. Tagesklinik, Geburtshaus);Krankenhäuser (ohne Forschung und Lehre) und teilstationäre Versorgung;
Gebäude für Gesundheit und Pflege;Rehabilitation;Gebäude für Reha, Kur und Genesung;
Gebäude für Gesundheit und Pflege;Kur und Genesung;Gebäude für Reha, Kur und Genesung;
Gebäude für Gesundheit und Pflege;Medizinisches Versorgungszentrum, Ärztehaus;Medizinische Einrichtungen für nicht stationäre Versorgung;
Gebäude für Gesundheit und Pflege;Arztpraxis;Medizinische Einrichtungen für nicht stationäre Versorgung;
Gebäude für Gesundheit und Pflege;Notfallpraxis;Medizinische Einrichtungen für nicht stationäre Versorgung;
Gebäude für Gesundheit und Pflege;Altenheim/Altenpflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Gesundheitswesen (allgemein);
Gebäude für Gesundheit und Pflege;Pflegeheim für Behinderte (ohne eigene Haushaltsführung der Bewohner/innen);Gesundheitswesen (allgemein);
Gebäude für Gesundheit und Pflege;Psychiatrische Pflegeheim (ohne eigene Haushaltsführung der Bewohner/innen);Gesundheitswesen (allgemein);
Gebäude für Gesundheit und Pflege;Tagespflegeeinrichtung;Medizinische Einrichtungen für nicht stationäre Versorgung;
Gebäude für Gesundheit und Pflege;Hospiz;Gesundheitswesen (allgemein);
Gebäude für Gesundheit und Pflege;Sonstige Gebäudefunktion;Gesundheitswesen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Schule, allgemein;Schulen;
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ganztagesschule;Schulen;
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Internatsschule;Beherbergungsstätten (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Förder-, Sonderschule;Schulen;
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (gewerblich, wirtschaftlich);Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsbildende Schule (mit höherer technischer Ausstattung, z.B. Werkstätten);Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Berufsakademie, Berufskolleg;Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Bildungszentrum;Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Ausbildungsstätte;Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Volkshochschule;Bildungseinrichtungen (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa;Kinderbetreuungseinrichtungen;
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa mit Küche;Kinderbetreuungseinrichtungen;
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Studentenhaus;Beherbergungsstätten (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Altentagesstätte;Beherbergungsstätten (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Jugendzentrum;Beherbergungsstätten (allgemein);
Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Sonstige Gebäudefunktion;Bildungseinrichtungen (allgemein);
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (einfach, z.B. Stadtbücherei);Bibliotheken / Archive;
Gebäude für Kultur und Freizeit;Bibliothek/Archiv (höher technisiert, z.B. Unibibliothek);Bibliotheken / Archive;
Gebäude für Kultur und Freizeit;Ausstellungsgebäude (Museen, Galerien);Ausstellungsgebäude;
Gebäude für Kultur und Freizeit;Oper, Theater und Veranstaltungshalle, Kino, Konferenzzentrum;Opern / Theater;
Gebäude für Kultur und Freizeit;Freizeit-, Gemeinschafts-, Bürgerhaus;Gemeinschafts- / Gemeindehäuser;
Gebäude für Kultur und Freizeit;Spielkasino, -bank, -halle;Kultureinrichtungen (allgemein);
Gebäude für Kultur und Freizeit;Sonstige Gebäudefunktion;Kultureinrichtungen (allgemein);
Sportgebäude;Einfeldhalle;Sporthallen;
Sportgebäude;Mehrfeldhalle;Sporthallen;
Sportgebäude;Gymnastikhalle;Sporthallen;
Sportgebäude;Sporthalle mit Mehrzwecknutzung;Sporthallen;
Sportgebäude;Hallenbad;Schwimmhallen;
Sportgebäude;Spaß- und Freizeitbad;Schwimmhallen;
Sportgebäude;Thermalbad;Schwimmhallen;
Sportgebäude;Hallenbad mit Freibadanlage;Schwimmhallen;
Sportgebäude;Kegelbahn/Bowling;Sporteinrichtungen (allgemein);
Sportgebäude;Schießstand;Sporteinrichtungen (allgemein);
Sportgebäude;Raumschießanlage;Sporteinrichtungen (allgemein);
Sportgebäude;Reithalle;Sporthallen;
Sportgebäude;Eissporthalle;Sporthallen;
Sportgebäude;Tennishalle;Sporthallen;
Sportgebäude;Fitnessstudio;Fitnessstudios;
Sportgebäude;Gebäude für Sportaußenanlage (Tribünen-, Umkleidegebäude);Gebäude für Sportaußenanlagen;
Sportgebäude;Sonstige Gebäudefunktion;Sporteinrichtungen (allgemein);
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Herberge, Ferienheim, Ferienhaus, Hotel/Pension einfach;Beherbergungsstätten (allgemein);
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sterne-Hotel;Hotels / Pensionen;
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Ausschankwirtschaft;Verpflegungseinrichtungen (allgemein);
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Speisegaststätte (einfach);Gaststätten;
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Restaurant (gehoben);Gaststätten;
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Mensa/Kantine;Mensen u. Kantinen;
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Gemeinschaftsunterkunft (z.B. Flüchtlingsheim, Kaserne, Kloster);Jugendherbergen u. Ferienhäuser;
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sonstige Gebäudefunktion;Beherbergungsstätten (allgemein);
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für gewerbliche Produktion und Verarbeitung (z.B. Brauerei, Molkerei, Schlachthof);Gewerbliche und industrielle Gebäude – Mischung aus leichter u. schwerer Arbeit;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für industrielle Produktion und Verarbeitung (z.B. Chemie, Metall, Textilien, Lebensmittel, Holz);Gewerbliche und industrielle Gebäude – Mischung aus leichter u. schwerer Arbeit;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude allgemein (z.B. von Handwerksbetrieben wie Klempner, Schlosser, Schreiner);Gewerbliche und industrielle Gebäude – schwere Arbeit, stehende Tätigkeit;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Werkstattgebäude zur Wartung, Instandsetzung, Reparatur (von z.B. Kfz);Gewerbliche und industrielle Gebäude – schwere Arbeit, stehende Tätigkeit;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Logistikimmobilie mit Toren bzw. Rampen;Gebäude für Lagerung;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Sonstiges Gebäude für Lagerung;Gebäude für Lagerung;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Feuerwehr, Rettungswache;Feuerwehrdienstgebäude;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Straßenmeisterei, Bauhof u.ä.;Gebäude für öffentliche Bereitschaftsdienste;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Fuhrpark;Gebäude für öffentliche Bereitschaftsdienste;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);Verpflegungseinrichtungen (allgemein);
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Rechenzentrum;Rechenzentrum;
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Sonstige Gebäudefunktion;Gewerbliche und industrielle Gebäude (allgemein);
Handelsgebäude;Handelsgebäude des Lebensmitteleinzel- und -großhandels;Märkte mit sehr hohem Anteil von Kühlung für Lebensmittel;
Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;Kaufhäuser;
Handelsgebäude;Einkaufszentrum, Shopping-Mall;Kaufhauszentren / Einkaufszentren;
Handelsgebäude;Markthalle;Märkte;
Handelsgebäude;Messehalle;Verkaufsstätten (allgemein);
Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;Läden;
Handelsgebäude;Sonstige Gebäudefunktion;Verkaufsstätten (allgemein);
Technikgebäude (Ver- und Entsorgung);Kraftwerk (Gesamtanlage für Energieversorgung);Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Gebäude für Wasserversorgung;Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Gebäude für Abwasserbehandlung;Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Gebäude für Abfallbehandlung;Technikgebäude (Ver- und Entsorgung);
Technikgebäude (Ver- und Entsorgung);Sonstige Gebäudefunktion;Technikgebäude (Ver- und Entsorgung);
Verkehrsgebäude;Park-/Garagengebäude, Fahrradparkhaus;Verkehrsgebäude;
Verkehrsgebäude;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);Verkehrsgebäude;
Verkehrsgebäude;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);Verkehrsgebäude;
Verkehrsgebäude;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);Verkehrsgebäude;
Verkehrsgebäude;Sonstige Gebäudefunktion;Verkehrsgebäude;
