city;state-prov;data_type;WMO_code;latitude;longitude;altitude;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sept;Oct;Nov;Dec;Min;Max;filename
Holzdorf AB;BB;ISD-TMYx;104760;51.7658;13.1667;101.6;2011;2017;2008;2004;2009;2005;2015;2017;2012;2004;2017;2014;2004;2017;DEU_BB_Holzdorf.AB.104760_TMYx.2004-2018.epw
Berlin Schonefeld AP;BE;ISD-TMYx;103850;52.3808;13.5306;50.3;2011;2015;2010;2012;2009;2011;2015;2012;2009;2013;2018;2013;2009;2018;DEU_BE_Berlin-Schonefeld.AP.103850_TMYx.2004-2018.epw
Berlin Tegel AP;BE;ISD-TMYx;103820;52.5644;13.3089;36.8;2016;2015;2015;2012;2009;2005;2009;2017;2009;2012;2013;2016;2005;2017;DEU_BE_Berlin-Tegel.AP.103820_TMYx.2004-2018.epw
Friedrichshafen AP;BW;ISD-TMYx;109350;47.67100000000001;9.511000000000001;416.7;2013;2011;2007;2014;2007;2007;2016;2008;2009;2012;2018;2012;2007;2018;DEU_BW_Friedrichshafen.AP.109350_TMYx.2004-2018.epw
Karlsruhe Baden Baden AP;BW;ISD-TMYx;107275;48.778999999999996;8.081;124.4;2011;2010;2010;2004;2017;2015;2017;2011;2009;2008;2012;2013;2004;2017;DEU_BW_Karlsruhe-Baden-Baden.AP.107275_TMYx.2004-2018.epw
Lahr Schwarzwald AP;BW;ISD-TMYx;108050;48.3647;7.8281;156.9;2011;2004;2010;2004;2007;2012;2009;2017;2014;2008;2012;2013;2004;2017;DEU_BW_Lahr-Schwarzwald.AP.108050_TMYx.2004-2018.epw
Laupheim AB;BW;ISD-TMYx;108370;48.2175;9.9097;549.8;2012;2004;2015;2014;2016;2008;2016;2004;2011;2005;2017;2012;2004;2017;DEU_BW_Laupheim.AB.108370_TMYx.2004-2018.epw
Lechfeld AB;BW;ISD-TMYx;108560;48.185;10.8508;562.0;2015;2011;2018;2004;2008;2015;2009;2011;2009;2008;2010;2012;2004;2018;DEU_BW_Lechfeld.AB.108560_TMYx.2004-2018.epw
Mannheim;BW;ISD-TMYx;107290;49.5061;8.5583;99.4;2011;2010;2015;2006;2006;2015;2018;2011;2013;2013;2006;2012;2006;2018;DEU_BW_Mannheim.107290_TMYx.2004-2018.epw
Messstetten;BW;ISD-TMYx;108270;48.1694;8.9433;920.0;2011;2004;2005;2010;2007;2007;2009;2008;2009;2008;2008;2008;2004;2011;DEU_BW_Messstetten.108270_TMYx.2004-2018.epw
Niederstetten AP;BW;ISD-TMYx;107430;49.3895;9.9667;472.8;2011;2011;2015;2004;2009;2010;2009;2011;2011;2004;2008;2009;2004;2015;DEU_BW_Niederstetten.AP.107430_TMYx.2004-2018.epw
Penzing AB;BW;ISD-TMYx;108570;48.0772;10.9144;627.7;2015;2011;2015;2004;2007;2012;2016;2004;2014;2012;2016;2012;2004;2016;DEU_BW_Penzing.AB.108570_TMYx.2004-2018.epw
Stuttgart AP;BW;ISD-TMYx;107380;48.6883;9.2236;391.6;2005;2009;2015;2005;2017;2012;2016;2011;2005;2005;2016;2012;2005;2017;DEU_BW_Stuttgart.AP.107380_TMYx.2004-2018.epw
Altenstadt AP;BY;ISD-TMYx;109540;47.8342;10.8667;756.7;2014;2017;2015;2016;2016;2018;2016;2016;2019;2018;2018;2018;2014;2019;DEU_BY_Altenstadt.AP.109540_TMYx.epw
Ansbach Katterbach AB;BY;ISD-TMYx;107550;49.308;10.639000000000001;467.0;2015;2016;2007;2016;2007;2007;2014;2016;2012;2011;2008;2012;2007;2016;DEU_BY_Ansbach.Katterbach.AB.107550_TMYx.2004-2018.epw
Augsburg AP;BY;ISD-TMYx;108520;48.4253;10.9419;476.7;2011;2011;2015;2011;2015;2012;2018;2016;2012;2013;2006;2012;2006;2018;DEU_BY_Augsburg.AP.108520_TMYx.2004-2018.epw
Feldkirchen Mitterhausen AF;BY;ISD-TMYx;107880;48.8275;12.5597;359.4;2005;2004;2010;2004;2007;2005;2009;2007;2004;2005;2008;2012;2004;2012;DEU_BY_Feldkirchen-Mitterhausen.AF.107880_TMYx.2004-2018.epw
Furstenzell;BY;ISD-TMYx;108950;48.5453;13.3531;479.9;2011;2011;2010;2004;2005;2012;2007;2007;2004;2004;2008;2012;2004;2012;DEU_BY_Furstenzell.108950_TMYx.2004-2018.epw
Grafenwohr AB;BY;ISD-TMYx;106870;49.699;11.94;415.4;2016;2008;2016;2011;2016;2016;2016;2016;2012;2016;2013;2013;2008;2016;DEU_BY_Grafenwohr.AB.106870_TMYx.2004-2018.epw
Hof;BY;ISD-TMYx;106850;50.3122;11.8761;566.8;2011;2017;2010;2010;2016;2011;2014;2012;2018;2011;2018;2009;2009;2018;DEU_BY_Hof.106850_TMYx.2004-2018.epw
Hohenfels AB;BY;ISD-TMYx;107750;49.217;11.833;443.5;2011;2017;2015;2010;2016;2015;2014;2011;2012;2012;2010;2017;2010;2017;DEU_BY_Hohenfels.AB.107750_TMYx.2004-2018.epw
Illesheim AB;BY;ISD-TMYx;107520;49.474;10.388;328.6;2015;2008;2011;2016;2017;2015;2014;2017;2012;2011;2018;2017;2008;2018;DEU_BY_Illesheim.AB.107520_TMYx.2004-2018.epw
Ingolstadt Manching AF;BY;ISD-TMYx;108600;48.7111;11.5361;366.0;2016;2017;2015;2016;2016;2018;2017;2017;2015;2017;2017;2014;2014;2018;DEU_BY_Ingolstadt.Manching.AF.108600_TMYx.2004-2018.epw
Kummersbruck;BY;ISD-TMYx;107710;49.4283;11.9017;418.1;2004;2004;2008;2004;2005;2010;2004;2011;2004;2012;2008;2005;2004;2012;DEU_BY_Kummersbruck.107710_TMYx.2004-2018.epw
Memmingen Allgau AP;BY;ISD-TMYx;109470;47.989;10.24;629.1;2015;2010;2014;2010;2016;2015;2018;2008;2012;2012;2012;2012;2008;2018;DEU_BY_Memmingen-Allgau.AP.109470_TMYx.2004-2018.epw
Munich AP;BY;ISD-TMYx;108700;48.35;11.783;448.0;2011;2011;2008;2004;2017;2010;2007;2008;2004;2008;2010;2009;2004;2017;DEU_BY_Munich.AP.108700_TMYx.2004-2018.epw
Neuburg AB;BY;ISD-TMYx;108530;48.7097;11.2097;387.3;2016;2004;2016;2004;2009;2005;2014;2008;2012;2013;2013;2013;2004;2016;DEU_BY_Neuburg.AB.108530_TMYx.2004-2018.epw
Nurnberg AP;BY;ISD-TMYx;107630;49.5031;11.055;317.6;2011;2009;2010;2016;2009;2010;2018;2011;2009;2013;2017;2017;2009;2018;DEU_BY_Nurnberg.AP.107630_TMYx.2004-2018.epw
Oberpfaffenhofen AB;BY;ISD-TMYx;108644;48.081;11.283;593.4;2015;2017;2015;2011;2014;2012;2017;2016;2009;2013;2019;2012;2009;2019;DEU_BY_Oberpfaffenhofen.AB.108644_TMYx.epw
Roth AP;BY;ISD-TMYx;107650;49.2164;11.1036;387.0;2011;2004;2008;2004;2006;2007;2009;2008;2009;2008;2008;2008;2004;2011;DEU_BY_Roth.AP.107650_TMYx.2004-2018.epw
Bremen AP;HB;ISD-TMYx;102240;53.045;8.7978;5.2;2016;2011;2010;2005;2006;2005;2016;2016;2009;2013;2014;2016;2005;2016;DEU_HB_Bremen.AP.102240_TMYx.2004-2018.epw
Diepholz Dummerland AP;HB;ISD-TMYx;103210;52.5881;8.3425;43.1;2004;2011;2008;2004;2007;2005;2009;2011;2009;2004;2007;2007;2004;2011;DEU_HB_Diepholz.Dummerland.AP.103210_TMYx.2004-2018.epw
Frankfurt AP;HE;ISD-TMYx;106370;50.0258;8.5214;104.1;2011;2009;2010;2017;2017;2006;2014;2011;2009;2011;2006;2012;2006;2017;DEU_HE_Frankfurt.AP.106370_TMYx.2004-2018.epw
Fritzlar AB;HE;ISD-TMYx;104390;51.1189;9.28;181.4;2011;2015;2010;2004;2006;2011;2005;2008;2009;2018;2008;2016;2004;2018;DEU_HE_Fritzlar.AB.104390_TMYx.2004-2018.epw
Kassel Calden AP;HE;ISD-TMYx;104360;51.408;9.378;276.8;2016;2015;2015;2013;2016;2016;2014;2017;2013;2013;2018;2013;2013;2018;DEU_HE_Kassel.Calden.AP.104360_TMYx.2004-2018.epw
Wiesbaden AB;HE;ISD-TMYx;106330;50.05;8.325;140.5;2015;2008;2011;2016;2017;2010;2014;2017;2012;2015;2017;2014;2008;2017;DEU_HE_Wiesbaden.AB.106330_TMYx.2004-2018.epw
Hamburg Schmidt AP;HH;ISD-TMYx;101470;53.633;9.9881;15.0;2011;2005;2010;2014;2006;2014;2009;2016;2009;2013;2012;2014;2005;2016;DEU_HH_Hamburg-Schmidt.AP.101470_TMYx.2004-2018.epw
Greifswalder Oie;MV;ISD-TMYx;100970;54.2436;13.9103;11.2;2008;2005;2004;2012;2012;2012;2008;2012;2012;2012;2004;2007;2004;2012;DEU_MV_Greifswalder.Oie.100970_TMYx.2004-2018.epw
Heringsdorf AP;MV;ISD-TMYx;101920;53.879;14.152000000000001;28.3;2013;2015;2004;2005;2013;2013;2009;2009;2004;2008;2004;2005;2004;2015;DEU_MV_Heringsdorf.AP.101920_TMYx.2004-2018.epw
Neubrandenburg Trollenhagen AP;MV;ISD-TMYx;102810;53.5997;13.3039;92.8;2004;2004;2004;2005;2006;2005;2009;2008;2009;2012;2012;2005;2004;2012;DEU_MV_Neubrandenburg.Trollenhagen.AP.102810_TMYx.2004-2018.epw
Rostock Laage AP;MV;ISD-TMYx;101720;53.9156;12.2789;59.0;2011;2015;2010;2005;2011;2005;2009;2007;2009;2004;2012;2017;2004;2017;DEU_MV_Rostock-Laage.AP.101720_TMYx.2004-2018.epw
Schwerin Parchim AP;MV;ISD-TMYx;101624;53.427;11.783;50.6;2014;2004;2008;2005;2007;2011;2005;2008;2004;2008;2010;2011;2004;2014;DEU_MV_Schwerin-Parchim.AP.101624_TMYx.2004-2018.epw
Waren;MV;ISD-TMYx;102680;53.5197;12.6653;65.3;2012;2005;2008;2005;2009;2006;2008;2008;2011;2004;2012;2005;2004;2012;DEU_MV_Waren.102680_TMYx.2004-2018.epw
Bergen;NI;ISD-TMYx;102380;52.8153;9.9247;77.4;2012;2011;2008;2004;2006;2006;2009;2011;2011;2004;2012;2005;2004;2012;DEU_NI_Bergen.102380_TMYx.2004-2018.epw
Braunschweig Wolfsburg AP;NI;ISD-TMYx;103480;52.318999999999996;10.556;89.9;2016;2011;2011;2013;2013;2006;2015;2011;2018;2018;2012;2016;2006;2018;DEU_NI_Braunschweig.Wolfsburg.AP.103480_TMYx.2004-2018.epw
Celle AP;NI;ISD-TMYx;103430;52.5958;10.0294;52.6;2011;2015;2010;2005;2014;2006;2015;2012;2004;2008;2013;2007;2004;2015;DEU_NI_Celle.AP.103430_TMYx.2004-2018.epw
Cuxhaven Nordholz AP;NI;ISD-TMYx;101360;53.7647;8.6583;32.5;2016;2015;2015;2004;2006;2014;2013;2013;2009;2011;2013;2004;2004;2016;DEU_NI_Cuxhaven.Nordholz.AP.101360_TMYx.2004-2018.epw
Emden AP;NI;ISD-TMYx;102000;53.3881;7.2286;-1.6;2004;2011;2008;2005;2006;2005;2009;2010;2009;2004;2005;2012;2004;2012;DEU_NI_Emden.AP.102000_TMYx.2004-2018.epw
Fassberg AB;NI;ISD-TMYx;102460;52.9156;10.1886;87.9;2018;2015;2010;2005;2006;2006;2009;2013;2007;2004;2014;2017;2004;2018;DEU_NI_Fassberg.AB.102460_TMYx.2004-2018.epw
Hannover AP;NI;ISD-TMYx;103380;52.4645;9.6781;59.4;2011;2011;2009;2005;2017;2006;2009;2016;2009;2013;2012;2018;2005;2018;DEU_NI_Hannover.AP.103380_TMYx.2004-2018.epw
Landeplatz Meppen AP;NI;ISD-TMYx;103040;52.7156;7.3175;41.1;2016;2016;2015;2016;2016;2018;2015;2016;2018;2019;2014;2016;2014;2019;DEU_NI_Landeplatz.Meppen.AP.103040_TMYx.epw
Oldenburg;NI;ISD-TMYx;102150;53.183;8.167;20.0;2004;2011;2008;2005;2007;2006;2009;2008;2009;2004;2007;2005;2004;2011;DEU_NI_Oldenburg.102150_TMYx.2004-2018.epw
Wittmundhafen AB;NI;ISD-TMYx;101260;53.5503;7.6672;11.8;2015;2015;2015;2010;2012;2011;2009;2016;2004;2004;2008;2007;2004;2016;DEU_NI_Wittmundhafen.AB.101260_TMYx.2004-2018.epw
Wunstorf AB;NI;ISD-TMYx;103340;52.4606;9.4311;69.2;2011;2015;2008;2014;2007;2006;2009;2017;2009;2008;2012;2007;2006;2017;DEU_NI_Wunstorf.AB.103340_TMYx.2004-2018.epw
Achum Buckeburg AB;NW;ISD-TMYx;103350;52.2817;9.0889;76.6;2016;2016;2015;2005;2006;2006;2009;2017;2014;2008;2012;2007;2005;2017;DEU_NW_Achum.Buckeburg.AB.103350_TMYx.2004-2018.epw
Bonn Roleber;NW;ISD-TMYx;105190;50.735;7.1931;160.4;2004;2004;2008;2005;2011;2010;2005;2008;2009;2011;2012;2009;2004;2012;DEU_NW_Bonn.Roleber.105190_TMYx.2004-2018.epw
Dortmund AP;NW;ISD-TMYx;104160;51.518;7.612;129.5;2004;2016;2018;2013;2009;2006;2009;2011;2018;2008;2012;2012;2004;2018;DEU_NW_Dortmund.AP.104160_TMYx.2004-2018.epw
Dusseldorf AP;NW;ISD-TMYx;104000;51.2958;6.7686;40.6;2015;2015;2015;2016;2009;2015;2014;2016;2009;2011;2012;2012;2009;2016;DEU_NW_Dusseldorf.AP.104000_TMYx.2004-2018.epw
Gutersloh AP;NW;ISD-TMYx;103200;51.923;8.306000000000001;71.9;2004;2009;2008;2004;2006;2011;2009;2008;2009;2004;2012;2005;2004;2012;DEU_NW_Gutersloh.AP.103200_TMYx.2004-2018.epw
Kalkar;NW;ISD-TMYx;104040;51.75;6.2829999999999995;43.0;2011;2004;2010;2004;2009;2006;2009;2008;2009;2004;2008;2005;2004;2011;DEU_NW_Kalkar.104040_TMYx.2004-2018.epw
Koln Bonn AP;NW;ISD-TMYx;105130;50.8644;7.1575;99.5;2015;2016;2010;2005;2016;2011;2009;2016;2009;2011;2012;2012;2005;2016;DEU_NW_Koln.Bonn.AP.105130_TMYx.2004-2018.epw
Luedenscheid;NW;ISD-TMYx;104180;51.2453;7.6425;389.4;2011;2011;2005;2004;2009;2011;2009;2008;2009;2004;2012;2009;2004;2012;DEU_NW_Luedenscheid.104180_TMYx.2004-2018.epw
Monchengladbach AP;NW;ISD-TMYx;104374;51.23;6.504;38.1;2012;2015;2011;2016;2016;2014;2017;2013;2018;2019;2012;2011;2011;2019;DEU_NW_Monchengladbach.AP.104374_TMYx.epw
Munster Osnabruck AP;NW;ISD-TMYx;103150;52.1344;7.6969;52.7;2011;2015;2015;2005;2016;2006;2015;2016;2009;2011;2012;2016;2005;2016;DEU_NW_Munster.Osnabruck.AP.103150_TMYx.2004-2018.epw
Norvenich AP;NW;ISD-TMYx;105020;50.8294;6.6603;133.9;2004;2016;2010;2010;2016;2010;2017;2011;2004;2004;2012;2005;2004;2017;DEU_NW_Norvenich.AP.105020_TMYx.2004-2018.epw
Paderborn Lippstadt AP;NW;ISD-TMYx;104260;51.614;8.616;213.1;2004;2011;2010;2004;2009;2005;2014;2016;2004;2013;2012;2012;2004;2016;DEU_NW_Paderborn.Lippstadt.AP.104260_TMYx.2004-2018.epw
Paenbruch;NW;ISD-TMYx;104330;51.8664;9.2708;259.2;2004;2009;2008;2004;2009;2011;2005;2007;2009;2008;2008;2005;2004;2011;DEU_NW_Paenbruch.104330_TMYx.2004-2018.epw
Rheine Bentlage AP;NW;ISD-TMYx;103060;52.291000000000004;7.3870000000000005;39.3;2016;2011;2011;2010;2009;2010;2009;2007;2004;2004;2017;2005;2004;2017;DEU_NW_Rheine.Bentlage.AP.103060_TMYx.2004-2018.epw
Siegerland AP;NW;ISD-TMYx;106162;50.708;8.083;599.2;2015;2011;2015;2010;2016;2008;2015;2011;2009;2019;2006;2012;2006;2019;DEU_NW_Siegerland.AP.106162_TMYx.epw
Weeze AP;NW;ISD-TMYx;100001;51.602;6.142;32.3;2015;2015;2010;2010;2016;2005;2013;2017;2009;2011;2017;2016;2005;2017;DEU_NW_Weeze.AP.100001_TMYx.2004-2018.epw
Buchel AB;RP;ISD-TMYx;106130;50.1747;7.0594;485.8;2015;2015;2010;2010;2012;2010;2014;2013;2004;2017;2012;2006;2004;2017;DEU_RP_Buchel.AB.106130_TMYx.2004-2018.epw
Frankfurt Hahn AP;RP;ISD-TMYx;106160;49.9461;7.2644;503.1;2011;2015;2010;2010;2014;2010;2014;2011;2004;2011;2011;2012;2004;2015;DEU_RP_Frankfurt-Hahn.AP.106160_TMYx.2004-2018.epw
Idar Oberstein;RP;ISD-TMYx;106180;49.6928;7.3264;377.0;2011;2009;2010;2004;2009;2008;2008;2007;2009;2004;2008;2009;2004;2011;DEU_RP_Idar.Oberstein.106180_TMYx.2004-2018.epw
Nurburg Barweiler;RP;ISD-TMYx;105060;50.3603;6.8697;488.2;2004;2004;2005;2010;2009;2008;2009;2008;2009;2004;2012;2005;2004;2012;DEU_RP_Nurburg.Barweiler.105060_TMYx.2004-2018.epw
Ramstein AFB;RP;ISD-TMYx;106140;49.437;7.6;238.1;2012;2008;2010;2010;2016;2010;2017;2011;2013;2017;2011;2012;2008;2017;DEU_RP_Ramstein.AFB.106140_TMYx.2004-2018.epw
Spangdahlem AB;RP;ISD-TMYx;106070;49.973;6.693;364.8;2015;2016;2011;2010;2011;2010;2014;2017;2013;2012;2011;2017;2010;2017;DEU_RP_Spangdahlem.AB.106070_TMYx.2004-2018.epw
Fehmar;SH;ISD-TMYx;100550;54.5283;11.0606;8.5;2009;2009;2004;2010;2012;2006;2009;2012;2004;2012;2012;2008;2004;2012;DEU_SH_Fehmar.100550_TMYx.2004-2018.epw
Hohenlockstedt Itzehoe Hungriger Wolf AP;SH;ISD-TMYx;101420;53.9897;9.5697;25.5;2011;2004;2008;2010;2007;2005;2009;2008;2009;2004;2008;2008;2004;2011;DEU_SH_Hohenlockstedt-Itzehoe.Hungriger.Wolf.AP.101420_TMYx.2004-2018.epw
Hohn AB;SH;ISD-TMYx;100380;54.3147;9.5389;17.8;2016;2015;2008;2010;2006;2005;2013;2013;2018;2004;2008;2004;2004;2018;DEU_SH_Hohn.AB.100380_TMYx.2004-2018.epw
Kiel Holtenau AP;SH;ISD-TMYx;100460;54.3761;10.1433;28.0;2016;2016;2015;2010;2007;2014;2009;2012;2018;2004;2008;2017;2004;2018;DEU_SH_Kiel.Holtenau.AP.100460_TMYx.2004-2018.epw
Leck AP;SH;ISD-TMYx;100220;54.7903;8.9514;7.8;2009;2006;2008;2010;2011;2011;2005;2012;2007;2008;2008;2007;2005;2012;DEU_SH_Leck.AP.100220_TMYx.2004-2018.epw
Lubeck AP;SH;ISD-TMYx;101560;53.8025;10.6989;17.0;2011;2015;2010;2016;2012;2010;2009;2016;2018;2013;2012;2017;2009;2018;DEU_SH_Lubeck.AP.101560_TMYx.2004-2018.epw
Meierwik;SH;ISD-TMYx;100330;54.8272;9.5058;33.3;2018;2009;2008;2010;2011;2014;2009;2007;2009;2015;2008;2004;2004;2018;DEU_SH_Meierwik.100330_TMYx.2004-2018.epw
Quickborn;SH;ISD-TMYx;101460;53.7331;9.8775;12.2;2009;2006;2008;2004;2006;2010;2005;2008;2009;2008;2008;2008;2004;2010;DEU_SH_Quickborn.101460_TMYx.2004-2018.epw
Schleswig AB;SH;ISD-TMYx;100370;54.4569;9.5203;25.1;2017;2004;2008;2010;2006;2005;2009;2013;2004;2004;2013;2004;2004;2017;DEU_SH_Schleswig.AB.100370_TMYx.2004-2018.epw
St Peter Ording;SH;ISD-TMYx;100280;54.3278;8.6031;11.2;2009;2006;2004;2005;2011;2011;2009;2007;2009;2011;2004;2008;2004;2011;DEU_SH_St.Peter.Ording.100280_TMYx.2004-2018.epw
Westerland Sylt AP;SH;ISD-TMYx;100180;54.913000000000004;8.34;15.5;2017;2005;2004;2016;2006;2011;2008;2007;2005;2008;2013;2014;2004;2017;DEU_SH_Westerland.Sylt.AP.100180_TMYx.2004-2018.epw
Saarbrucken AP;SL;ISD-TMYx;107080;49.2128;7.1078;320.3;2011;2009;2010;2017;2012;2010;2010;2011;2009;2017;2011;2012;2009;2017;DEU_SL_Saarbrucken.AP.107080_TMYx.2004-2018.epw
Dresden AP;SN;ISD-TMYx;104880;51.1281;13.7544;232.4;2016;2010;2015;2005;2009;2010;2015;2012;2012;2011;2012;2017;2005;2017;DEU_SN_Dresden.AP.104880_TMYx.2004-2018.epw
Leipzig Halle AP;SN;ISD-TMYx;104690;51.4347;12.2397;135.5;2011;2015;2010;2005;2009;2017;2015;2016;2009;2013;2014;2017;2005;2017;DEU_SN_Leipzig.Halle.AP.104690_TMYx.2004-2018.epw
Leipzig Holzhausen;SN;ISD-TMYx;104710;51.315;12.4461;138.0;2005;2011;2008;2005;2006;2006;2005;2007;2012;2012;2012;2004;2004;2012;DEU_SN_Leipzig.Holzhausen.104710_TMYx.2004-2018.epw
Altenburg Nobitz AP;TH;ISD-TMYx;105536;50.982;12.505999999999998;195.1;2014;2006;2010;2005;2006;2005;2008;2011;2009;2005;2008;2007;2005;2014;DEU_TH_Altenburg.Nobitz.AP.105536_TMYx.2004-2018.epw
Erfurt Binderslebn AP;TH;ISD-TMYx;105540;50.9828;10.9608;322.0;2011;2009;2015;2010;2016;2005;2015;2017;2009;2013;2014;2016;2005;2017;DEU_TH_Erfurt.Binderslebn.AP.105540_TMYx.2004-2018.epw
